fold_energy,seed_match_count,seed_match_full,mirna_au_count,mirna_au_frac,count_matches,frac_matches,len_target_reg,longest_pairing,3p_mirna_match_count,seed_3p_diff,positive
-14.10,5,0,12,0.5714285714285714,7,0.3333333333333333,7,7,0,5,1
-12.60,6,1,13,0.5652173913043478,8,0.34782608695652173,8,8,0,6,1
-32.90,6,1,13,0.5909090909090909,21,0.9545454545454546,21,12,7,-1,1
-4.70,5,0,13,0.5652173913043478,10,0.43478260869565216,12,4,0,5,1
-20.60,6,1,8,0.38095238095238093,14,0.6666666666666666,20,12,2,4,1
-20.10,4,0,10,0.45454545454545453,14,0.6363636363636364,16,5,4,0,1
-27.70,6,1,9,0.45,15,0.75,17,9,4,2,1
-9.90,3,0,9,0.47368421052631576,10,0.5263157894736842,13,5,5,-2,1
-18.90,5,0,11,0.5,11,0.5,11,11,0,5,1
-17.60,5,0,12,0.5454545454545454,9,0.4090909090909091,9,9,0,5,1
-19.10,6,1,12,0.631578947368421,14,0.7368421052631579,15,7,4,2,1
-18.40,5,0,9,0.4090909090909091,13,0.5909090909090909,15,11,0,5,1
-16.00,4,0,12,0.5217391304347826,13,0.5652173913043478,14,8,2,2,1
-29.00,5,0,8,0.38095238095238093,17,0.8095238095238095,19,17,5,0,1
-7.70,4,0,13,0.5652173913043478,8,0.34782608695652173,8,8,0,4,1
-6.40,1,0,11,0.5,12,0.5454545454545454,16,6,4,-3,1
-27.40,6,1,8,0.36363636363636365,20,0.9090909090909091,21,14,6,0,1
-28.30,6,1,9,0.4090909090909091,16,0.7272727272727273,19,9,3,3,1
-30.30,6,1,9,0.391304347826087,20,0.8695652173913043,21,8,5,1,1
-11.50,4,0,8,0.36363636363636365,7,0.3181818181818182,8,6,0,4,1
-17.70,5,0,12,0.5454545454545454,9,0.4090909090909091,9,9,0,5,1
-11.90,2,0,10,0.45454545454545453,12,0.5454545454545454,18,6,4,-2,1
-20.60,3,0,8,0.4,12,0.6,18,7,5,-2,1
-20.80,1,0,8,0.38095238095238093,11,0.5238095238095238,11,11,3,-2,1
-10.60,5,0,7,0.3333333333333333,11,0.5238095238095238,12,5,1,4,1
-24.80,4,0,8,0.36363636363636365,15,0.6818181818181818,18,7,4,0,1
-17.90,6,1,11,0.5238095238095238,9,0.42857142857142855,9,9,0,6,1
-14.30,4,0,9,0.391304347826087,14,0.6086956521739131,22,5,3,1,1
-23.50,5,0,6,0.3,12,0.6,13,9,3,2,1
-4.60,0,0,11,0.5,5,0.22727272727272727,5,5,0,0,1
-12.70,2,0,10,0.5555555555555556,11,0.6111111111111112,11,7,5,-3,1
-7.80,4,0,10,0.47619047619047616,8,0.38095238095238093,9,4,0,4,1
-20.00,6,1,12,0.5454545454545454,11,0.5,11,11,0,6,1
-9.00,5,0,12,0.5714285714285714,12,0.5714285714285714,15,6,2,3,1
-17.70,5,0,10,0.45454545454545453,13,0.5909090909090909,15,7,0,5,1
-17.30,5,0,12,0.5454545454545454,9,0.4090909090909091,9,9,0,5,1
-26.70,4,0,8,0.36363636363636365,18,0.8181818181818182,22,11,6,-2,1
-18.40,4,0,6,0.3,11,0.55,16,11,1,3,1
-8.90,4,0,14,0.6363636363636364,6,0.2727272727272727,6,6,0,4,1
-20.40,6,1,8,0.38095238095238093,11,0.5238095238095238,12,11,0,6,1
-14.20,5,0,13,0.5909090909090909,12,0.5454545454545454,17,6,3,2,1
-18.00,2,0,8,0.36363636363636365,14,0.6363636363636364,20,12,6,-4,1
-22.90,6,1,11,0.5,15,0.6818181818181818,16,15,1,5,1
-18.60,3,0,8,0.36363636363636365,12,0.5454545454545454,19,12,1,2,1
-27.80,4,0,8,0.36363636363636365,16,0.7272727272727273,19,12,4,0,1
-7.80,0,0,7,0.35,8,0.4,9,6,5,-5,1
-23.80,3,0,8,0.4444444444444444,13,0.7222222222222222,14,13,6,-3,1
-11.30,5,0,12,0.5454545454545454,10,0.45454545454545453,10,10,0,5,1
-24.20,4,0,8,0.36363636363636365,13,0.5909090909090909,17,5,4,0,1
-23.40,3,0,9,0.42857142857142855,15,0.7142857142857143,19,10,6,-3,1
-23.30,6,1,10,0.47619047619047616,17,0.8095238095238095,19,9,6,0,1
-21.40,4,0,9,0.391304347826087,14,0.6086956521739131,16,7,1,3,1
-10.00,5,0,10,0.47619047619047616,8,0.38095238095238093,9,5,0,5,1
-11.30,4,0,10,0.45454545454545453,12,0.5454545454545454,18,4,4,0,1
-15.80,4,0,7,0.3333333333333333,16,0.7619047619047619,28,11,6,-2,1
-10.80,3,0,8,0.36363636363636365,9,0.4090909090909091,13,7,1,2,1
-8.20,3,0,13,0.5909090909090909,13,0.5909090909090909,16,5,4,-1,1
-25.10,6,1,6,0.3,14,0.7,20,11,3,3,1
-20.40,6,1,13,0.5909090909090909,12,0.5454545454545454,12,12,0,6,1
-18.40,0,0,10,0.45454545454545453,11,0.5,13,11,5,-5,1
-9.70,0,0,11,0.5,10,0.45454545454545453,12,7,7,-7,1
-15.10,6,1,13,0.6190476190476191,15,0.7142857142857143,19,8,4,2,1
-29.00,5,0,6,0.3,17,0.85,19,11,7,-2,1
-21.10,5,0,9,0.391304347826087,17,0.7391304347826086,21,6,5,0,1
-24.10,2,0,8,0.36363636363636365,14,0.6363636363636364,16,7,6,-4,1
-23.60,5,0,8,0.34782608695652173,16,0.6956521739130435,20,14,1,4,1
-12.40,4,0,10,0.5,12,0.6,16,8,2,2,1
-10.80,6,1,9,0.47368421052631576,11,0.5789473684210527,19,8,3,3,1
-9.80,6,1,9,0.391304347826087,9,0.391304347826087,9,6,0,6,1
-21.40,5,0,13,0.6190476190476191,17,0.8095238095238095,19,17,5,0,1
-19.50,5,0,7,0.3333333333333333,11,0.5238095238095238,15,7,0,5,1
-24.80,6,1,7,0.3333333333333333,16,0.7619047619047619,21,13,3,3,1
-22.10,5,0,9,0.391304347826087,18,0.782608695652174,21,12,4,1,1
-23.80,6,1,8,0.38095238095238093,14,0.6666666666666666,18,8,3,3,1
-8.50,4,0,10,0.5,10,0.5,10,6,3,1,1
-4.40,1,0,13,0.5652173913043478,7,0.30434782608695654,10,4,0,1,1
-25.80,2,0,8,0.36363636363636365,16,0.7272727272727273,17,14,7,-5,1
